Substance ID,SMILES,BertzCT,Kappa2
ZINC000000000240,O=C1[C@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,825.2329957764756,6.684118477776126
ZINC000000000241,CN(C)[C@@H](c1cccnc1)C1COCOC1,310.0546159437918,5.386019942074913
ZINC000000000242,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,471.52791768785835,6.638286463373893
ZINC000000000243,CC(C)NC[C@@H](O)CC(c1ccccc1)c1ccccc1,470.1042672142927,7.963084178216408
ZINC000000000244,COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@@]1(O)CC[C@H](O)C3,663.0120274146503,5.347223228611354
ZINC000000000245,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1CCO,451.29471853049176,6.861338914810658
ZINC000000000246,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Br)cc1,553.1908264086571,7.209084008379485
ZINC000000000248,CC(=O)[C@@H]1CC[C@@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@]4(C)[C@@H]3[C@H](O)C[C@@]12C,689.3859014568812,5.3889144866042535
ZINC000000000249,C[C@@H]1O[C@]2(CCCC[C@@H]2Oc2cccc(Cl)c2)NC1=O,521.5950193105292,5.260860627615752
ZINC000000000250,CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,403.77517087358444,6.854971478772031
ZINC000000000251,CCN1CCC[C@@H]1CNC(=O)C(O)(c1ccccc1)c1ccccc1,648.0569417262262,7.807739710924374
ZINC000000000252,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1C[C@H](O)[C@@H]2O,569.5819082919403,4.467155494987557
ZINC000000000253,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3[C@@H]2C1,636.2809488102538,6.577182238233219
ZINC000000000254,CN1CC[C@@]2(C)C[C@H](Cc3ccc(O)cc32)C1,442.5480021361272,3.739648089286691
ZINC000000000255,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1C1=CC(=O)CC1,604.7745281351421,7.472954873125722
ZINC000000000257,COC(=O)CCc1ccc(OC[C@H](O)CNC(C)C)cc1,416.79008229776605,9.365172299785801
ZINC000000000259,C#C[C@]1(O)CC[C@@H]2N3CCc4cc(OC)ccc4[C@@H]3CC[C@]21C,678.7095136560401,4.996074347059766
ZINC000000000261,CCN(C)[C@@H](C)[C@@H](O)c1ccccc1,260.2840561811969,5.128229271195141
ZINC000000000263,C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(N)cc(CO)c1,628.6638664110976,7.965415224913496
ZINC000000000264,CCNC1=Nc2ccc(Cl)cc2[C@H](c2ccccc2)S1,640.180061455509,5.8974041608264
ZINC000000000265,CCO[C@@H]1c2ccccc2C(=O)N(C)c2ccccc21,650.9431931542531,5.097712849630266
ZINC000000000266,CCN(CC)C(=O)c1ccc(O)c(OC)c1,372.5266641820713,5.394662646823832
ZINC000000000267,C#C[C@@](O)(/C=C/Cl)CC,145.4853656061739,3.551589868698775
ZINC000000000268,CCOC(=O)[C@]1(c2ccccc2)CCCN(C)CC1,418.01692667700365,6.198237064395881
ZINC000000000270,CCOC(=O)c1cncn1[C@H]1CCCc2ccccc21,618.4443627544268,5.488738582495086
ZINC000000000271,CCN1C(=O)N[C@H](c2ccccc2)C1=O,388.8342118896136,3.7263265306122446
ZINC000000000272,CCN(C)[C@@H](C)C=C(c1cccs1)c1cccs1,446.3105032662418,6.32041631514609
ZINC000000000273,CC[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1,314.23546241521774,4.302981002047615
ZINC000000000274,CC[C@H](C(=O)NC(N)=O)c1ccccc1,348.8653710605151,5.143128759352535
ZINC000000000276,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C,422.36618636549065,8.052659546017468
ZINC000000000277,CC/N=C1\Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1,684.4443929864826,5.4131113423517165
ZINC000000000282,CCc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,681.0919331222045,6.977828651766501
ZINC000000000283,C[C@@H]1C[C@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)N1C,486.06840462966727,6.1594002436145106
ZINC000000000284,CC[C@@H](C)[C@](C#N)(CCN1CCCCC1)c1ccccc1,456.20473953549254,7.613758523221892
ZINC000000000285,CC(C)NC[C@@H](O)COc1ccccc1C1CCCCC1,413.4342826470778,8.399040381744138
ZINC000000000287,O=C1[C@@H](N2CCCCC2)CCN1c1ccccc1,411.7615950134094,5.105224589522321
ZINC000000000288,NC(=O)c1ccccc1OCC(=O)OC[C@@H]1CCCO1,482.2075364292342,6.905424948921623
ZINC000000000289,CC[C@H](C(=O)O)C1(O)CCC(c2ccccc2)CC1,418.88000302659077,5.74180573693455
ZINC000000000290,N[C@H](Cc1ccc(Cl)cc1)C(=O)O,296.9879407824652,4.254156442997501
ZINC000000000291,O=C(O)[C@@H](Cl)c1ccc(C2CCCCC2)c(Cl)c1,439.4201738861544,5.940939684411912
ZINC000000000293,C[C@H](Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,984.3544513796129,7.062823247775272
ZINC000000000294,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,333.280912135366,5.344160556818799
