SMILES,Yield_CO_s,Yield_CO_l,Yield_CO_cl,Yield_CA,Yield_CS,Yield_CN
O=C(C1=C2C=CC=C1)C3=C(C=CC=C3)C2=O,0,0,0,0,0,0
F[B-](N(C(C)=C1)C2=C1C)(F)[N+](C(C(C)=C3)=C2C)=C3C,0,0,0,0,4,1
F[B-](N(C(C)=C1CC)C2=C1C)(F)[N+](C(C(C)=C3CC)=C2C)=C3C,0,0,0,0,3,1
F[B-](N(C(C)=C1C)C2=C1C)(F)[N+](C(C(C)=C3C)=C2C#N)=C3C,0,0,0,0,0,0
C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,0,0,0,1,0,1
CC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)C)=CC(C4=CC=C(C=C4)C)=[O+]2,0,0,0,2,0,0
COC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)OC)=CC(C4=CC=C(C=C4)OC)=[O+]2,0,0,1,2,0,0
C[N+]1=C(C=CC=C2)C2=CC3=CC=CC=C31,0,0,0,2,0,1
C[N+]1=C(C=CC=C2)C2=C(C3=CC=CC=C3)C4=CC=CC=C41,0,0,0,2,0,1
C[N+]1=C(C=CC=C2)C2=C(C3=C(C=C(C=C3C)C)C)C4=CC=CC=C41,0,0,0,1,0,0
CC1=CC(C)=CC(C)=C1C2=C3C(C=C(C=C3)C(C)(C)C)=[N+](C4=CC=CC=C4)C5=CC(C(C)(C)C)=CC=C52,0,0,0,2,0,0
