SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3,Yield_CO,Yield_CS,Yield_CN
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,18.59837593,-0.02357222,-3.040816327,0.033465973,38.43126996,1.044778082,5.991735537,1.222422602,12.109375,0,4.118667206,9.234526546,72.79640482,1055.318578,0,0,0,1
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,21.09746111,0.027931806,4.078043704,0.033465973,32.31188411,1.044649091,5.960625,1.273272353,12.90178571,2.388089569,4.09979954,9.810457201,97.0618731,1363.22933,0,0,4,2
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,29.65907522,0.017816755,4.953057851,0.80848893,63.81196912,1.044647973,9.765625,1.596492475,16.4643595,2.393368869,7.676621787,13.62412281,155.8812512,1852.617234,0,2,53,9
CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,23.04038261,0.018540798,3.15193572,0.148148148,23.95716428,1.044647855,6.89927686,1.410944486,13.74902344,2.398839548,4.966044755,10.74422019,95.05021079,1523.302865,0,0,0,7
C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,23.57342008,0.101916913,16.61245675,0.033465973,36.53084936,1.044518442,6.046627433,1.274624443,13.74902344,4.780623583,4.164688729,10.43427684,121.3273414,1606.188039,0,4,2,2
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,32.12556445,0.068945364,20.33888228,1.056626875,73.51504708,1.044517327,9.734693878,1.53601524,17.40234375,4.791182183,7.591953487,14.30604197,180.1467195,2109.279855,0,0,2,1
CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,25.51320834,0.087860963,16.43,0.197530864,29.60570569,1.04451721,6.951557093,1.387208197,14.63194444,4.802123541,4.989552041,11.39028572,119.3156791,1771.209185,0,1,2,2
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,26.92494853,0.021523363,3.93877551,0.39546985,10.87838069,0.776050459,7.869421488,1.355425733,17.21814404,4.406886915,5.580154844,13.30196462,48.53093655,1852.933791,0,0,0,2
O=[N+](C1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)[O-],28.57822386,-0.01254883,-2.30898466,0.289382716,44.93048891,0.669219357,5.302962798,1.702509919,13.44672796,20.00609042,3.566226161,9.917911137,109.1946072,2648.54249,11.37477255,0,0,0
O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],28.8492081,0.05447861,10.1875,0.245281094,62.5850512,0.669219209,8.80362426,1.547952784,18.1614317,13.5365058,6.103175927,13.76760448,109.1946072,1873.489478,11.37477255,0,0,16
